original_entity,expanded_entity
1ag,1AG
1ozl,1ozl
2xu,2XU
3rrr,3RRR
49ers,49ers
aaco,AACO
aald,AALD
aami,AAMI
abc,Australian Broadcasting Corporation
abl,ABL
ablas,ABLAS
acci,Australian Chamber of Commerce and Industry
accor,Accor
ace,ACE
acorn,Acorn
acre,ACRE
acs,ACS
act,Australian Capital Territory
activ,Activ
actu,Actu
adc,ADC
adf,Australian Defence Force
adfpp,ADFPP
aecr,AECR
aeu,Australian Education Union
afc,Australian Football Conference
afe,AFE
afg,AFG
afic,AFIC
afl,Australian Football League
aflw,Australian Football League Women's
afppd,AFPPD
afta,AFTA
agc,Australian Government Corporation
agest,Australian Government Employees Superannuation Trust
agi,AGI
agl,AGL Energy Limited
ago,Australian Government Organisation
agr,AGR
agu,AGU
aha,Australian Hotels Association
ahg,AHG
ahia,Australian Health Insurance Association
ahl,AHL
ahpra,Australian Health Practitioner Regulation Agency
aia,AIA Group Limited
aicd,Australian Institute of Company Directors
aiia,Australian Investment Industry Association
aijac,AIJAC
aime,AIME
aimpe,AIMPE
ajm,AJM
ald,ALD
alga,Australian Local Government Association
alo,ALO
alp,Australian Labor Party
alpg,ALPG
am2,AM2
ama,Australian Medical Association
amaq,AMAQ
amcor,Amcor
amec,AMEC
amex,American Express
amp,AMP Limited
ampol,Ampol Limited
amvz,AMVZ
an2,AN2
anam,ANAM
anz,Australia and New Zealand Banking Group
aon,Aon
aou,AOU
apa,APA Group
apec,Asia-Pacific Economic Cooperation
aphra,Australian Practitioner Regulation Agency
apl,APL
aplng,APLNG
appea,Australian Petroleum Production & Exploration Association
apt,APT
apx,APX
aqc,AQC
arb,Architects Registration Board
areva,Areva
arf,ARF
aria,Australian Recording Industry Association
arlc,ARLC
arm,ARM
aru,Australian Rugby Union
asahi,Asahi
aserf,ASERF
asia,Asia
aspi,Australian Strategic Policy Institute
astra,Astra
asu,Australian Services Union
asx,Australian Securities Exchange
at,AT
atc,ATC
atlas,Atlas
aujs,AUJS
aust,Australia
avh,AVH
avis,Avis
avq,AVQ
aware,Aware Super
awb,AWB
awu,Australian Workers' Union
awy,AWY
axa,AXA
axxa,AXXA
azj,AZJ
bali,Bali
bank,Bank
bega,Bega Cheese
bfrix,BFRIX
bgc,BGC
bhb,BHP Billiton
bhp,BHP
bitp,BITP
bkl,BKL
bld,BLD
blg,BLG
block,Block
bnbg,BNBG
boat,Boat
boc,Bank of China
bond,Bond
bono,Bono
boq,Bank of Queensland
bowen,Bowen
bp,BP
brg,BRG
bsl,BSL
bt,BT
bupa,Bupa
bussq,BUSSQ
c6c,C6C
ca,CA
caa,CAA
caleb,Caleb
canva,Canva
car,CAR
care,CARE
cat,CAT
cba,Commonwealth Bank of Australia
cbapb,CBAPB
cbus,Construction and Building Unions Superannuation
ce,CE
ceda,CEDA
cepu,CEPU
cfmeu,"Construction, Forestry, Maritime, Mining and Energy Union"
cgu,CGU
china,China
choe,CHOE
cim,CIM
cis,CIS
clan,Clan
clare,Clare
clock,Clock
clwr,CLWR
coh,COH
col,COL
coles,Coles
costa,Costa
cpsu,Community and Public Sector Union
cqs,CQS
cra,CRA
crown,Crown Resorts
cs,CS
csa,CSA
csbp,CSBP
csl,CSL Limited
csr,CSR Limited
cua,CUA
cub,CUB
cuba,Cuba
cue,Cue
cvb,CVB
cwa,CWA
cwn,CWN
cybg,CYBG
cyca,CYCA
dalby,Dalby
dansu,DANSU
dassh,DASSH
dbjp,DBJP
dcns,DCNS
ddt,DDT
dexus,Dexus
doha,Doha
dough,Dough
drr,DRR
dubai,Dubai
dulux,Dulux
dxs,DXS
eas,EAS
ebay,eBay
edd,EDD
edv,EDV
emb,EMB
emmg,EMMG
eos,EOS
escap,Economic and Social Commission for Asia and the Pacific
espn,ESPN
esr,ESR Group
esss,Equity Story Strategic Solutions
eta,Electronic Travel Authority
etc,ETC
ethi,ETHI
ethr,ETHR
euroa,Euroa
ewm,EWM
ewz,EWZ
ex20,EX20
ey,Ernst & Young
fair,Fair Work Commission
fang,FANG
fb,Facebook
fbu,FBU
ffa,Football Federation Australia
fiami,FIAMI
fifa,Fédération Internationale de Football Association
findi,FINDI
fm,FM
fmg,Fortescue Metals Group
fogs,FOGS
frsa,FRSA
fsu,FSU
fte,Full-Time Equivalent
funds,Funds
