Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Kevin Hogan,National Party of Australia,Page,47,2022,2025,2025-04-23
Luke Howarth,Liberal National Party,Petrie,47,2022,2025,2025-04-23
Ed Husic,Australian Labor Party,Chifley,47,2022,2025,2025-04-23
Stephen Jones,Australian Labor Party,Whitlam,47,2022,2025,2025-04-23
Barnaby Joyce,National Party of Australia,New England,47,2022,2025,2025-04-23
Andrew Giles,Australian Labor Party,Scullin,47,2022,2025,2025-04-23
David Gillespie,National Party of Australia,Lyne,47,2022,2025,2025-04-23
Alex Hawke,Liberal Party of Australia,Mitchell,47,2022,2025,2025-04-23
Julian Hill,Australian Labor Party,Bruce,47,2022,2025,2025-04-23
Scott Morrison,Liberal Party of Australia,Cook,47,2022,2025,2025-04-23
Daniel Mulino,Australian Labor Party,Fraser,47,2022,2025,2025-04-23
Peta Murphy,Australian Labor Party,Dunkley,47,2022,2025,2025-04-23
Shayne Neumann,Australian Labor Party,Blair,47,2022,2025,2025-04-23
Llew O'Brien,Liberal National Party,Wide Bay,47,2022,2025,2025-04-23
Ted O'Brien,Liberal National Party,Fairfax,47,2022,2025,2025-04-23
Richard Marles,Australian Labor Party,Corio,47,2022,2025,2025-04-23
Zaneta Mascarenhas,Australian Labor Party,Swan,47,2022,2025,2025-04-23
Michelle Ananda-Rajah,Australian Labor Party,Higgins,47,2022,2025,2025-04-23
Karen Andrews,Liberal National Party,McPherson,47,2022,2025,2025-04-23
Bridget Archer,Liberal Party of Australia,Bass,47,2022,2025,2025-04-23
Adam Bandt,Australian Greens,Melbourne,47,2022,2025,2025-04-23
Stephen Bates,Australian Greens,Brisbane,47,2022,2025,2025-04-23
Brian Mitchell,Australian Labor Party,Lyons,47,2022,2025,2025-04-23
Rob Mitchell,Australian Labor Party,McEwen,47,2022,2025,2025-04-23
Chris Bowen,Australian Labor Party,McMahon,47,2022,2025,2025-04-23
Colin Boyce,Liberal National Party,Flynn,47,2022,2025,2025-04-23
Russell Broadbent,Liberal / Independent,Monash,47,2022,2025,2025-04-23
Scott Buchholz,Liberal National Party,Wright,47,2022,2025,2025-04-23
Tony Burke,Australian Labor Party,Watson,47,2022,2025,2025-04-23
Matt Burnell,Australian Labor Party,Spence,47,2022,2025,2025-04-23
Anthony Albanese,Australian Labor Party,Grayndler,47,2022,2025,2025-04-23
Anne Aly,Australian Labor Party,Cowan,47,2022,2025,2025-04-23
Mark Butler,Australian Labor Party,Hindmarsh,47,2022,2025,2025-04-23
Alison Byrnes,Australian Labor Party,Cunningham,47,2022,2025,2025-04-23
Cameron Caldwell [d],Liberal National Party,Fadden,47,2022,2025,2025-04-23
Jim Chalmers,Australian Labor Party,Rankin,47,2022,2025,2025-04-23
Max Chandler-Mather,Australian Greens,Griffith,47,2022,2025,2025-04-23
Kate Chaney,Independent,Curtin,47,2022,2025,2025-04-23
Jodie Belyea,Australian Labor Party,Dunkley,47,2022,2025,2025-04-23
Sam Birrell,National Party of Australia,Nicholls,47,2022,2025,2025-04-23
Bill Shorten,Australian Labor Party,Maribyrnong,47,2022,2025,2025-04-23
David Smith,Australian Labor Party,Bean,47,2022,2025,2025-04-23
Anne Stanley,Australian Labor Party,Werriwa,47,2022,2025,2025-04-23
Zali Steggall,Independent,Warringah,47,2022,2025,2025-04-23
James Stevens,Liberal Party of Australia,Sturt,47,2022,2025,2025-04-23
Michael Sukkar,Liberal Party of Australia,Deakin,47,2022,2025,2025-04-23
Stuart Robert [d],Liberal National Party,Fadden,47,2022,2025,2025-04-23
Tracey Roberts,Australian Labor Party,Pearce,47,2022,2025,2025-04-23
Matt Keogh,Australian Labor Party,Burt,47,2022,2025,2025-04-23
Peter Khalil,Australian Labor Party,Wills,47,2022,2025,2025-04-23
Catherine King,Australian Labor Party,Ballarat,47,2022,2025,2025-04-23
Madeleine King,Australian Labor Party,Brand,47,2022,2025,2025-04-23
Michelle Landry,Liberal National Party,Capricornia,47,2022,2025,2025-04-23
Tania Lawrence,Australian Labor Party,Hasluck,47,2022,2025,2025-04-23
Sally Sitou,Australian Labor Party,Reid,47,2022,2025,2025-04-23
Allegra Spender,Independent,Wentworth,47,2022,2025,2025-04-23
Julian Leeser,Liberal Party of Australia,Berowra,47,2022,2025,2025-04-23
Andrew Leigh,Australian Labor Party,Fenner,47,2022,2025,2025-04-23
Sussan Ley,Liberal Party of Australia,Farrer,47,2022,2025,2025-04-23
Sam Lim,Australian Labor Party,Tangney,47,2022,2025,2025-04-23
David Littleproud,Liberal National Party,Maranoa,47,2022,2025,2025-04-23
Nola Marino,Liberal Party of Australia,Forrest,47,2022,2025,2025-04-23
Ged Kearney,Australian Labor Party,Cooper,47,2022,2025,2025-04-23
Simon Kennedy,Liberal Party of Australia,Cook,47,2022,2025,2025-04-23
Kristy McBain,Australian Labor Party,Eden-Monaro,47,2022,2025,2025-04-23
Emma McBride,Australian Labor Party,Dobell,47,2022,2025,2025-04-23
Michael McCormack,National Party of Australia,Riverina,47,2022,2025,2025-04-23
Melissa McIntosh,Liberal Party of Australia,Lindsay,47,2022,2025,2025-04-23
Zoe McKenzie,Liberal Party of Australia,Flinders,47,2022,2025,2025-04-23
Louise Miller-Frost,Australian Labor Party,Boothby,47,2022,2025,2025-04-23
Jerome Laxale,Australian Labor Party,Bennelong,47,2022,2025,2025-04-23
Dai Le,Independent,Fowler,47,2022,2025,2025-04-23
Tony Zappia,Australian Labor Party,Makin,47,2022,2025,2025-04-23
Tim Watts,Australian Labor Party,Gellibrand,47,2022,2025,2025-04-23
Anne Webster,National Party of Australia,Mallee,47,2022,2025,2025-04-23
Tony Pasin,Liberal Party of Australia,Barker,47,2022,2025,2025-04-23
Alicia Payne,Australian Labor Party,Canberra,47,2022,2025,2025-04-23
Gavin Pearce,Liberal Party of Australia,Braddon,47,2022,2025,2025-04-23
Graham Perrett,Australian Labor Party,Moreton,47,2022,2025,2025-04-23
Fiona Phillips,Australian Labor Party,Gilmore,47,2022,2025,2025-04-23
Henry Pike,Liberal National Party,Bowman,47,2022,2025,2025-04-23
Jason Wood,Liberal Party of Australia,La Trobe,47,2022,2025,2025-04-23
Terry Young,Liberal National Party,Longman,47,2022,2025,2025-04-23
Melissa Price,Liberal Party of Australia,Durack,47,2022,2025,2025-04-23
Sam Rae,Australian Labor Party,Hawke,47,2022,2025,2025-04-23
Rowan Ramsey,Liberal Party of Australia,Grey,47,2022,2025,2025-04-23
Gordon Reid,Australian Labor Party,Robertson,47,2022,2025,2025-04-23
Daniel Repacholi,Australian Labor Party,Hunter,47,2022,2025,2025-04-23
Amanda Rishworth,Australian Labor Party,Kingston,47,2022,2025,2025-04-23
Brendan O'Connor,Australian Labor Party,Gorton,47,2022,2025,2025-04-23
Clare O'Neil,Australian Labor Party,Hotham,47,2022,2025,2025-04-23
Michelle Rowland,Australian Labor Party,Greenway,47,2022,2025,2025-04-23
Joanne Ryan,Australian Labor Party,Lalor,47,2022,2025,2025-04-23
Monique Ryan,Independent,Kooyong,47,2022,2025,2025-04-23
Sophie Scamps,Independent,Mackellar,47,2022,2025,2025-04-23
Marion Scrymgour,Australian Labor Party,Lingiari,47,2022,2025,2025-04-23
