id,mp_name,party,electorate,declaration_date,category,sub_category,entity,canonical_entity,item,details
1099bdb2-4577-4fa1-ae89-a31cc6e26fcf,Tony Abbott,Liberal Party of Australia,Warringah,2010-10-21,Liability,Mortgage,ADELAIDE BANK AND RISMARK (THROUGH PERMANENT CUSTODIANS),ADELAIDE BANK AND RISMARK (THROUGH PERMANENT CUSTODIANS),Residential Mortgage,RESIDENTIAL MORTGAGE
c482c477-9f72-40c5-96c9-dcd8895bfb30,Tony Abbott,Liberal Party of Australia,Warringah,2010-10-21,Gift,Other Gift,"MR MAX LIONDOS, LIONDOS TAILORS, SYDNEY","MR MAX LIONDOS, LIONDOS TAILORS, SYDNEY",Suits,SUITS
bf6b6e1a-6eda-4a1d-9512-45f62c17724c,Tony Abbott,Liberal Party of Australia,Warringah,2010-10-21,Gift,Other Gift,"MR MAX LIONDOS, LIONDOS TAILORS, SYDNEY","MR MAX LIONDOS, LIONDOS TAILORS, SYDNEY",Suits,"SUITS FROM MR MAX LIONDOS, LIONDOS TAILORS, SYDNEY"
e0a8b92f-8b0b-4f8a-b784-a1cd27bcef3d,Tony Abbott,Liberal Party of Australia,Warringah,2011-02-11,Gift,Entertainment,Melbourne Cricket Club (MCC) and Cricket Australia,Melbourne Cricket Club (MCC) and Cricket Australia,Ashes Test Match Hospitality,accepted the hospitality of the Melbourne Cricket Club (MCC) and Cricket Australia to attend the fourth Ashes Test Match on 26 December 2010.
6ef3f488-e1c3-4fc1-a5fa-a33268aa2d71,Anthony Albanese,Australian Labor Party,Grayndler,2010-10-20,Liability,Other Liability,"CBA, ANZ","CBA, ANZ",Credit Card,"Mastercard, Visa"
bfbf98f2-172d-48cc-af05-22c22b550ae3,Anthony Albanese,Australian Labor Party,Grayndler,2011-09-21,Gift,Decorative,Dulwich High School of Visual Arts and Design,Dulwich High School of Visual Arts and Design,Two coffee mugs,Received two coffee mugs from Dulwich High School of Visual Arts and Design
d406d379-0793-44fa-bfaf-3bfb4b5b634b,Anthony Albanese,Australian Labor Party,Grayndler,2012-05-14,Asset,Real Estate,"Vladimir Yakunin, President of Russian Railways","Vladimir Yakunin, President of Russian Railways",Book 'Russia Through A Train Window',"Was presented with a book 'Russia Through A Train Window' by Vladimir Yakunin, President of Russian Railways."
196217c7-bbe2-45e6-abb7-b5bb1252ce71,Anthony Albanese,Australian Labor Party,Grayndler,2012-05-21,Gift,Entertainment,"Ipswich Motorway Construction Company, Origin Alliance","Ipswich Motorway Construction Company, Origin Alliance",Half NSW State of Origin/South Sydney football jersey,"Was presented with a half NSW State of Origin/South Sydney football jersey by the Ipswich Motorway Construction Company, Origin Alliance."
198baf2a-39ad-4ab6-a53f-246794ede5d9,Anthony Albanese,Australian Labor Party,Grayndler,2012-11-12,Gift,Hospitality,Emirates and Lion,Emirates and Lion,Guest at the Melbourne Cup,On Tuesday 6 November I was a guest of Emirates and Lion at the Melbourne Cup.
bebf1ed2-e049-430e-a58d-f84c465e5b77,Anthony Albanese,Australian Labor Party,Grayndler,2013-01-15,Gift,Other Gift,"Ministry of Economy, United Arab Emirates","Ministry of Economy, United Arab Emirates",Statuette and fountain pen,"In December from the Ministry of Economy, United Arab Emirates, a statuette and a fountain pen"
9933f6b1-522f-46f0-afc8-d6820413c4c7,Anthony Albanese,Australian Labor Party,Grayndler,2013-01-15,Gift,Decorative,Minister for the Indonesian Search and Rescue Agency,Minister for the Indonesian Search and Rescue Agency,Plaque,"In December from the Minister for the Indonesian Search and Rescue Agency, a plaque"
842ddce1-6051-41aa-9740-4216f1b0dc6b,Anthony Albanese,Australian Labor Party,Grayndler,2013-01-15,Membership,Professional,Channel 9 and Qantas,Channel 9 and Qantas,Cricket Test Ticket,At the Third Cricket Test between Australia and Sri Lanka at the SCG I was a guest of Channel 9 and Qantas.
572c739c-d935-4315-a37d-7ce8b70e83d4,Anthony Albanese,Australian Labor Party,Grayndler,2013-01-15,Gift,Other Gift,"Chen Yuming, Chinese Embassy in Australia","Chen Yuming, Chinese Embassy in Australia",Fountain pen and calendar,"On 9 January 2013 from Chen Yuming, Chinese Embassy in Australia, a fountain pen, and calendar."
f3ed663a-733e-43ed-8c9c-45f986fc4401,Anthony Albanese,Australian Labor Party,Grayndler,2013-05-01,Membership,Professional,Qantas and Emirates,Qantas and Emirates,A380 Aircraft Model,On 29 April 2013 I was given a model A380 Aircraft from Qantas and Emirates.
340c4882-02fa-4adc-a5f9-678a54b93a22,Kevin Andrews,Liberal Party of Australia,Menzies,2011-11-23,Asset,Shares,Westpac and Rhymney Pty Ltd,Westpac and Rhymney Pty Ltd,Residential House Loan in Kilmore,My wife and I have purchased a residential block at Kilmore for investment purposes. A house is being constructed on it. We have loans with Westpac and Rhymney Pty Ltd for this purpose.
fa277c1d-023f-4f60-8635-856f03f43ee6,Kevin Andrews,Liberal Party of Australia,Menzies,2013-02-06,Travel,Other Travel,Santos and Orica Green Edge,Santos and Orica Green Edge,Tour Down Under Attendance,I attended stages of the Tour Down Under as a guest.
3901d5dc-671a-459f-8201-399fd207e872,Kevin Andrews,Liberal Party of Australia,Menzies,2013-02-06,Gift,Entertainment,Shell and Optus,Shell and Optus,Tickets to Australian Open Tennis Championships,My wife and I attended two nights of the Australian Open Tennis Championships as guests.
4ebdd04d-ec87-41b3-93c5-fabb67f7fba6,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Membership,Other Membership,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Ltd,HR Consulting Services,Human Resources and Industrial Relations Consulting
2b94350a-9da6-47da-9ba8-4b752d61e697,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Liability,Credit,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Line of Credit,Line of Credit
1c07e17e-acc2-4ef8-b5bd-2f21bc04504d,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Liability,Loan,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Investment Property Loan,Residential Investment Property Loan
ad4291ae-358a-4b75-9d83-f5c43f1d6cd4,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Liability,Loan,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Ltd,Loan,Loan
09792b1c-4f23-48d5-a93c-42112b565270,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Asset,Other Asset,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Savings,Savings
db01f1cc-ffdf-440b-8508-8258746dd175,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Asset,Other Asset,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Share Trading,Share trading
d3499d2b-23e3-4cbc-8b92-c3bf0540f824,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Asset,Other Asset,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Savings (Spouse),Savings (Spouse)
e075f4bd-6ce4-4bac-9b9b-0e8ddbd37405,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Liability,Credit,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Line of Credit,Line of Credit (Spouse)
37d98de4-962b-4450-adb9-0dcf2718713a,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Liability,Loan,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Investment Property Loan,Residential Investment Property Loan (Spouse)
f2e81428-897e-4cb1-a23a-3a100b25c76b,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Liability,Loan,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Ltd,Loan,Loan (Spouse)
04a5679c-c6d2-47a2-b5b6-c421fa314b78,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Membership,Other Membership,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Ltd,HR Consulting Services,Human Resources and Industrial Relations Consulting (Spouse)
5ae80e8b-aebf-4970-b03b-c4650e338ada,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Liability,Loan,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Ltd,Loan,Loan (Dependent Children)
f7300b17-dece-4b8a-bd68-279d87c201f9,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Asset,Other Asset,artwork / vehicle,artwork / vehicle,Art Collection and/or Vehicle,Art collection details.
83457ccc-b2ab-4506-8576-da809a29d71d,Karen Andrews,Liberal National Party,McPherson,2010-10-25,Asset,Other Asset,Australian and New Zealand Banking Group Limited,Australian and New Zealand Banking Group Limited (ANZ),Savings Account,Savings Account
dc86500c-25d7-44f4-8f6d-60a177777510,Robert Charles Baldwin,Liberal Party of Australia,Paterson,2010-11-15,Gift,Other Gift,"InterContinental Hotel, Melbourne","InterContinental Hotel, Melbourne",Tourism Industry Rates and/or room upgrades and/or club lounge access,Provided with tourism industry rates and/or room upgrades and/or club lounge access and/or complimentary meeting room facilities
b16f41bf-6a69-4e72-ac1a-1b7b6b7389e2,Robert Charles Baldwin,Liberal Party of Australia,Paterson,2010-11-15,Asset,Real Estate,"Star City Hotel and Apartments, Sydney","Star City Hotel and Apartments, Sydney","Accommodation at Star City Hotel, Sydney",Provided with tourism industry rates and/or room upgrades and/or club lounge access and/or complimentary meeting room facilities
8a5b1c3f-e877-4bc7-b43c-5f9fbf654ef1,Robert Charles Baldwin,Liberal Party of Australia,Paterson,2010-11-15,Gift,Other Gift,"Treasury Hotel, Brisbane","Treasury Hotel, Brisbane",Tourism Industry Rates and/or room upgrades and/or club lounge access,Provided with tourism industry rates and/or room upgrades and/or club lounge access and/or complimentary meeting room facilities
444f25c3-0264-4a60-b1a9-a41e3bc2c16e,Robert Charles Baldwin,Liberal Party of Australia,Paterson,2010-11-15,Gift,Other Gift,"InterContinental Hotel, Perth","Intercontinental Hotel, Sydney",Tourism Industry Rates and/or room upgrades and/or club lounge access,Provided with tourism industry rates and/or room upgrades and/or club lounge access and/or complimentary meeting room facilities
04679688-0f0d-4bb9-b0b8-b97a81dd6063,Robert Charles Baldwin,Liberal Party of Australia,Paterson,2013-05-03,Asset,Real Estate,"Voyages Indigenous Tourism Australia, Ayres Rock","Voyages Indigenous Tourism Australia, Ayres Rock",Accommodation at Ayres Rock,When travelling on official business I received complimentary accommodation. One night. My chief of staff also received complimentary accommodation.
5a90e428-5a99-4917-8399-e198fd3a85ac,Adam Bandt,Australian Greens,Melbourne,2012-03-20,Travel,Other Travel,German government/ Goethe Institut,German government/ Goethe Institut,Renewable Energy Tour,"Trip to Germany for Renewable Energy tour, funded and organised by German government/ Goethe Institut. Travel to/from Germany, Business Class. Accommodation in Berlin. 22-29 April 2012."
ca16e873-d0a7-456c-a78b-a2bbeffc1f13,Bruce Fredrick Billson,Liberal Party of Australia,Dunkley,2010-10-25,Asset,Trust,"Exquirant P/L, Billson Family Trust","Exquirant P/L, Billson Family Trust",Exquirant P/L,"Owns Exquirant P/L - Holds non transferable loss on April of byinen sole, sole trustee, potential discretionary beneficiary"
5313384c-05c8-4c36-a07f-64323b5e959f,Bruce Fredrick Billson,Liberal Party of Australia,Dunkley,2010-10-25,Membership,Other Membership,Exquisant P/L,Exquisart P/L,Retailing body products & skin care,Retailing body products & skin care
2e832527-8c7b-4018-bd9d-0e9e97b5eb99,Sharon Bird,Australian Labor Party,Cunningham,2010-08-21,Liability,Mortgage,"Wizard, GE Money, Commonwealth Bank","Wizard, GE Money, Commonwealth Bank",Mortgage,Mortgage
f45370b9-8421-4461-8bf1-1ceac7cff1b3,Sharon Bird,Australian Labor Party,Cunningham,2010-08-21,Asset,Other Asset,"Australia National Credit Union, AGEST, PSS",Australian National Credit Union,Superannuation,"Savings Account, Superannuation"
8e017410-78b3-4df5-89cf-f7e3d4af9f71,Sharon Bird,Australian Labor Party,Cunningham,2010-08-21,Membership,Other Membership,"Transport Workers Union (NSW), Emily's List, APHEDA","Transport Workers Union (NSW), Emily's List, APHEDA",Transport Workers Union (NSW) Membership,Transport Workers Union (NSW)
7ab32da0-721b-49af-8474-b97d7511377e,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2010-10-25,Membership,Other Membership,"Surf Life Saving Clubs, Service Clubs & Sporting Clubs in Electorate","Surf Life Saving Clubs, Service Clubs & Sporting Clubs in Electorate",Surf Life Saving/Service/Sporting Club Patron/Member,Patron/Member/Vice Patron/Honorary Member
1916305e-2be1-4780-8e97-c276bb75cd8c,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2011-07-07,Travel,Other Travel,WA Chamber of Mineral and Energy,WA Chamber of Mineral and Energy,Charter Flight,"Item 12 Charter Flight Perth - Cloudbreak, Newman and Karratha 7 June 2011"
1d929516-5978-417e-8a02-8d71f67c7776,Christopher Bowen,Australian Labor Party,McMahon,2010-06-22,Asset,Real Estate,"Mr Kaisheng YANG, President of ICBC","Mr Kaisheng YANG, President of ICBC",Decorative Screen Ornament,Decorative Screen ornament - Approx $100
7bc389b9-74c8-41cd-9544-331a0dba8206,Christopher Bowen,Australian Labor Party,McMahon,2013-02-13,Gift,Hospitality,"Mr Xiongmo Huang, Chairman of Yuhu Group of companies","Mr Xiongmo Huang, Chairman of Yuhu Group of companies",Penfolds Grange Wine,"Bottle of wine - Penfolds Grange 2002 from Mr Xiongmo Huang, Chairman of Yuhu Group of companies. Note: payment sent to PM&C as it was in excess of $300."
4aec0902-59e0-4d30-8846-617b3d80d936,David Bradbury,Australian Labor Party,Lindsay,2012-07-23,Asset,Real Estate,eBay and PayPal,eBay and PayPal,Mid Winter Ball Tickets,"Two complimentary tickets for my wife Kylie Bradbury and myself to attend the Mid Winter Ball on Wednesday, 27 June 2012 in the Great Hall, Parliament House. The hospitality was provided by eBay and PayPal."
5900437b-c457-4527-9a1c-d8a400f2e442,Jamie Edward Briggs,Liberal Party of Australia,Mayo,2012-02-24,Asset,Other Asset,Sealink/Coopers,Sealink/Coopers,Ticket to Kangaroo Island Cup Carnival,"Invited as a guest of Sealink Travel Group to attend The Coopers Kangaroo Island Cup Carnival in the Sealink/Coopers Corporate Hospitality Marquee, including transport to and from Kangaroo Island. Attended the event with my wife, Estee. 19th February 2012"
d69e7898-e596-4085-b2ad-212f3c23a639,Jamie Edward Briggs,Liberal Party of Australia,Mayo,2012-11-05,Asset,Other Asset,James Boag and Mumm,James Boag and Mumm,Tickets to Melbourne Cup Carnival,"2012 Melbourne Cup Spring Racing Carnival Derby Day - Complimentary tickets to the James Boag and Mumm Marquees. I was accompanied by my wife, Estee."
46b7cc9e-f859-4940-ab5a-b31edc5230f9,Scott Buchholz,Liberal National Party,Wright,2010-10-22,Asset,Other Asset,Bendigo/Adelaide Bank,Bendigo/Adelaide Bank,Savings Account,"Self: Savings Account, Bendigo/Adelaide Bank"
99fb1be8-41df-402b-b5e4-fcfa1c6818b4,Scott Buchholz,Liberal National Party,Wright,2010-10-22,Asset,Other Asset,Bendigo/Adelaide Bank,Bendigo/Adelaide Bank,Savings Account,"Spouse: Savings Account, Bendigo/Adelaide Bank"
3d535790-ddc3-4556-87d0-e1899569f1df,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2010-10-25,Asset,Other Asset,"Police Credit Co-op, Australian Super","Police Credit Co-op, Australian Super",Savings/Superannuation,"Savings/Superannuation, Self"
a795ca63-74bf-4109-996b-9944d1ac25aa,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2010-10-25,Asset,Other Asset,"Police Credit Co-op, ESSS, Uni Super","Police Credit Co-op, ESSS, Uni Super",Savings/Superannuation,"Savings/Superannuation, Spouse"
22dc4b41-2e61-4035-bcc0-98fd5a1decd7,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2010-10-25,Unknown,Other,"Metropolitan Ambulance Service, Monash University","Metropolitan Ambulance Service, Monash University",Spouse,Spouse
16d35d01-2d4f-4041-9849-8bfd0badfd12,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2010-10-25,Travel,Other Travel,"MTC productions, Qantas","MTC productions, Qantas",Tickets to MTC productions and Upgrade to First Class QF128,"Opening night tickets to the MTC productions for 2010 for myself and partner. Upgraded flight from business to first class for myself and husband on QF128 on 13/11/2009, Self"
