canonical_name,entity_name,similarity_score,count,group_id
Qantas,Qantas,100.0,564,1
Qantas,Quantas,92.3076923076923,2,1
Qantas,Qantas FF,80.0,1,2
Commonwealth Bank,Commonwealth Bank,100.0,378,4
Commonwealth Bank,Commonwealth Banks,97.14285714285714,1,4
Commonwealth Bank,Commonwealth Bank.,97.14285714285714,1,5
Commonwealth Bank,commonwealth Bank,94.11764705882352,1,6
Commonwealth Bank,Bank of Commonwealth,91.89189189189189,4,7
Commonwealth Bank,commonwealth bank,88.23529411764706,1,8
Commonwealth Bank,Commonwealth Bank Shares,82.92682926829268,1,9
Commonwealth Bank,Commonwealth,82.75862068965517,35,10
Commonwealth Bank,Commonwealth Savings Bank,80.95238095238095,1,11
Commonwealth Bank,Commonwealth Private Bank,80.95238095238095,1,12
Commonwealth Bank,Commonwealth Bank and ANZ,80.95238095238095,1,13
Westpac,Westpac,100.0,376,15
Westpac,Westpace,93.33333333333333,2,15
Westpac,Wespac,92.3076923076923,2,16
Westpac,westpack,80.0,1,17
National Australia Bank,National Australia Bank,100.0,224,19
National Australia Bank,National Bank Australia,100.0,3,19
National Australia Bank,National Australian Bank,97.87234042553192,1,20
National Australia Bank,National Australia Bank Ltd,92.0,13,21
National Australia Bank,All National Australia Bank,92.0,4,22
National Australia Bank,"National Australia Bank, ING",90.19607843137256,1,23
National Australia Bank,National Australia Bank (NAB),88.46153846153845,1,24
National Australia Bank,National Aust Bank,87.8048780487805,2,25
National Australia Bank,Regional Australia Bank,86.95652173913044,4,26
National Australia Bank,National Australia Bank Limited,85.18518518518519,5,27
National Australia Bank,"Westpac, National Australia Bank",83.63636363636364,1,28
National Australia Bank,National Australia Bank (Homeside),80.70175438596492,1,29
National Australia Bank,Australian Mutual Bank,80.0,3,30
Virgin Australia,Virgin Australia,100.0,193,32
Virgin Australia,Virgin Australia VIP,88.88888888888889,1,32
Virgin Australia,Virgin Australia Club,86.48648648648648,12,33
Virgin Australia,Virgin Australia Lounge,82.05128205128204,1,34
Virgin Australia,Wine Australia,80.0,3,35
Virgin Australia,"Qantas, Virgin Australia",80.0,3,36
Virgin Australia,Lion Australia,80.0,2,37
Virgin Australia,Virgin Australia Airline,80.0,1,38
Virgin Australia,"QANTAS, Virgin Australia",80.0,1,39
Virgin,Virgin,100.0,158,41
Virgin,Virgin FF,80.0,1,41
Commonwealth Bank of Australia,Commonwealth Bank of Australia,100.0,129,43
Commonwealth Bank of Australia,Commonwealth Banking of Australia,95.23809523809523,1,43
Commonwealth Bank of Australia,Commonwealth Bank Australia,94.73684210526316,1,44
Commonwealth Bank of Australia,Commonwealth Bank Of Austral,93.10344827586206,1,45
Commonwealth Bank of Australia,Commonwealth Bank of Australia (CBA),90.9090909090909,5,46
Telstra,Telstra,100.0,119,48
Telstra,telstra,85.71428571428572,1,48
