entity,count
N/A,7169
Qantas,564
Commonwealth Bank,378
Westpac,376
NAB,361
ANZ,331
CBA,295
National Australia Bank,224
Virgin Australia,193
Virgin,158
Commonwealth Bank of Australia,129
Telstra,119
ING,117
QANTAS,102
Foxtel,102
ANZ Bank,89
Bendigo Bank,87
ASTRA,87
Unknown,86
AFL,86
Macquarie Bank,81
AMP,80
Tennis Australia,75
Cricket Australia,75
WESTPAC,74
NRL,73
St George Bank,65
BHP,64
Suncorp,63
Qantas Chairman's Lounge,62
Tabcorp,55
Australian Super,53
Bank of Queensland,51
National Press Club,47
Emirates,46
Bankwest,45
Westpac Bank,42
ME Bank,40
Australian Labor Party,40
St George,36
Qantas Airways,36
Opera Australia,36
Bank Australia,36
Commonwealth,35
Bank SA,34
Optus,33
Macquarie,32
Virgin Club,31
Santos,30
Geelong Football Club,30
Netball Australia,29
National Press Club of Australia,28
MLC,28
ING Direct,27
Various,26
Richmond Football Club,26
Liberal Party of Australia,26
Members Equity,25
Lion,25
FIFA,25
COMMONWEALTH BANK,25
Wesfarmers,24
IAG,24
Members Equity Bank,23
Bank of Melbourne,22
Woodside,21
Emirates Airlines,21
BOQ,20
Australian Services Union,20
Woolworths,19
Toyota Finance,19
The Hon. Philip Ruddock MP,19
Screen Australia,19
Chifley Research Centre,19
Bank West,19
Westpac Banking Corporation,18
Virgin Airlines,18
Carlton Football Club,18
Australian Institute of Company Directors,18
Astra,18
Vanguard,17
Melbourne Cricket Club,17
Gold Coast Turf Club,17
Devizes Investments Pty Ltd,17
BHP Billiton,17
Australian American Leadership Dialogue,17
Spouse,16
Penrith Panthers,16
Medibank Private,16
City of Swan,16
Beef Australia,16
Amnesty International,16
Wallace Family Trust,15
Victoria Racing Club,15
Taipei Economic and Cultural Office,15
Gloucester Park Harness Racing,15
CPSU,15
Brisbane Broncos,15
Bathurst Regional Council,15
Australian Republican Movement,15
