Entity Name,Classification,Confidence,Split Entities,Explanation
National Rugby League and ARL Indigenous Council,MULTIPLE,HIGH,"National Rugby League, ARL Indigenous Council",These are two distinct organizations mentioned together.  The context demonstrates separate involvement.
North Sydney Leagues and North Sydney Football Club,MULTIPLE,HIGH,"North Sydney Leagues, North Sydney Football Club",These are two separate sporting clubs mentioned jointly.
Ebay and Paypal,MULTIPLE,HIGH,"Ebay, Paypal","These are two separate, well-known multinational companies."
Huawei and Asialink,MULTIPLE,HIGH,"Huawei, Asialink",Two distinct multinational companies.
"ANZ, Commonwealth, NAB, Metway and others",MULTIPLE,HIGH,"ANZ, Commonwealth, NAB, Metway, others",These are several distinct Australian banks. 'and others' indicates more entities.
FOXTEL and AUSTAR,MULTIPLE,HIGH,"FOXTEL, AUSTAR",These are (were) two separate Australian pay television providers.
"BHP Billiton, Interlink Roads, Clubs Australia, Bankstown RSL, Bankstown Sports Club, Linfox, Master Builders Association, Generation One, CFMEU, Australian Health Insurance Association, Publishing and Broadcasting Limited - Channel 9, Major General Michael Jeffrey, Deloitte Touche Tohmatsu, Sabah Tourism, Accor Hotels, Stockland, Westfield, Singapore Airlines, Qantas Airlines, REX Airlines, GTi Media, Parker and Partners, Infrastructure Partnerships Australia, Sydney Airport Corporation",MULTIPLE,HIGH,"BHP Billiton, Interlink Roads, Clubs Australia, Bankstown RSL, Bankstown Sports Club, Linfox, Master Builders Association, Generation One, CFMEU, Australian Health Insurance Association, Publishing and Broadcasting Limited, Channel 9, Major General Michael Jeffrey, Deloitte Touche Tohmatsu, Sabah Tourism, Accor Hotels, Stockland, Westfield, Singapore Airlines, Qantas Airlines, REX Airlines, GTi Media, Parker and Partners, Infrastructure Partnerships Australia, Sydney Airport Corporation",This is a long list of diverse and separate Australian and international organizations and individuals.
Australian and Indian governments,MULTIPLE,HIGH,"Australian government, Indian government",These are two separate governmental entities.
NAB and Westpac,MULTIPLE,HIGH,"NAB, Westpac",Two separate major Australian banks.
"Retire Invest, ING, and Ernst and Young",MULTIPLE,HIGH,"Retire Invest, ING, Ernst and Young",Three distinct organizations are listed.
Bicycling QLD and Cycling Aust,MULTIPLE,HIGH,"Bicycling QLD, Cycling Aust","Two separate organizations, likely related to cycling but in different regions."
