"normalized_entity","categories","sub_categories","details_list"
"1ag","Unknown","Other","N/A"
"1ozl","Income,Asset","Other Income,Other Asset","DELETION Sold by Stuart Robert,DELETION 1.Sold by Robert Superannuation Fund"
"2xu","Gift","Other Gift","2XU Apparel Gift Pack 18 November 2014
"
"3rrr","Membership","Other Membership","Member of 3RRR community radio station."
"49ers","Gift,Unknown","Hospitality,Other","1x bottle of St Henri Shiraz from ypo 49ers as Guect Geche,pair running shoes & Guest Given Physiotherapy Association from Austration"
"aaco","Travel","Other Travel","Accepted AACo's offer of a special purpose flight from Archerfield Airport Brisbane to Dalgonally Station on 12 March, 2019."
"aald","Travel","Other Travel","My wife Chloe, Business Class travel Syd/Los Angeles/New York/Los Angeles/Sydney 20.07.14 – 27.07.14 from AALD (Australian American Leadership Dialogue)."
"aami","Unknown","Other","Attended Derby Day as a guest of AAMI at the Marquee 3 November 2012 (Birdcage) Flemington Racecourse"
"abc","Income,Unknown,Travel,Gift,Asset","Other Income,Other,Other Travel,Entertainment,Real Estate,Trust","Income from Employment with ABC,I attended the Midwinter Ball as a guest of the ABC,Anzac Girls DVD and commemorative book - 16 June 2014, Approximate value $30.,6-7 October 2018 Perth-Melbourne Return/ Accommodation/ Ground Transfers,WEDNESDAY 31 AUGUST, TICKETS MID WINTER BALL,Press Gallery Mid-Winter Ball tickets courtesy of ABC (x2) (Wednesday 14 June 2017),Received DVD ""Back Road"",Tickets and hospitality to the 2018 Midwinter Ball (Wednesday 12 September 2018), for self and spouse as guests..."
"abl","Gift","Entertainment","Tickets and hospitality to the Australian Open Men's Final on Sunday 27 January 2019. As guests of ABL."
"ablas","Unknown","Other","1 CHOCOLATE BASKET - GIFT FROM ABLAS"
"acci","Gift","Hospitality","Received a bottle of wine"
"accor","Membership,Gift","Other Membership,Entertainment","ACCOR Membership (Husband),2 Tickets to the Men's Australian Open from Accor,2x tickets to Australian Open Tennis Provided by Accor"
"ace","Unknown","Other","N/A"
"acorn","Asset","Other Asset","I have also recently opened and closed an Acorn investment account."
"acre","Travel","Other Travel","The Alliance for Conservatives and Reformists in Europe (ACRE) sponsored my visit to Europe and the United Kingdom from 4-11 March 2017. The Alliance met the cost of flights as well as accommodation in Warsaw and Brussels."
"acs","Gift,Travel","Other,Other Travel","Gift of a Monte Blanc Pen from ACS valued at $450 to be surrendered to the Department of Prime Minister and Cabinet.,Travel to Israel as part of innovation and technology delegation hosted by ACS (Australian Computer Society). Sponsored travel for my partner and I including airfares, in-country meals and transport and most accommodation costs. 25 August 2018 – 4 September 2018."
"act","Asset,Unknown,Gift","Real Estate,Other,Other Gift,Shares","Residential,Residence,Second home for work (100% ownership),Private residence in Canberra,Rental,MP responsibilities,Add to self: Investment,Add to spouse: Investment,Investment,Private residential,RESIDENTIAL,Investment/Residence,Investment (Spouse)"
"activ","Unknown","Other","V/Patron"
"actu","Asset,Gift,Travel","Real Estate,Hospitality,Other Travel","Gift from ACTU. Donation of refreshments from Australian Council of Trade Unions for Union & Community Sector Budget Night Event at Parliament House on 13 May 2014,Gift from ACTU. Donation of refreshments from the Australian Council of Trade Unions for a Union & Community Sector Budget Night Event at Parliament House on 12 May 2015,Self: Budget night hospitality from the ACTU. Refreshments provided.,Budget Night Hospitality: ACTU Funding of Budget Night Function,Part travel and accommodation for..."
"adc","Travel","Other Travel","Participated in the ADC Leadership Retreat 2012 in Hayman Island where the registration fee was waived as well as my Deputy Chief of staff"
